customer_id,first_name,last_name,email,phone,age,city,country,job_title,salary,registration_date,last_login,orders_count,total_spent,customer_segment,is_active,department,full_name,spending_per_order,age_category,high_spender,high_earner,days_since_registration,email_domain,customer_score
27,John,Russell,hannahbrewer@example.com,701.843.6349x578,28,Michaelmouth,Faroe Islands,Information officer,64741,2024-03-10,2025-08-13 17:42:24.053278,33,4362.17,Platinum,True,Finance,John Russell,128.3,Young (18-29),True,False,578,example.com,4043.519
29,Justin,Mendoza,jack04@example.com,616-371-9022,59,North Angela,Israel,Trading standards officer,78944,2024-11-17,2025-08-28 16:05:44.369673,28,4498.07,Platinum,True,Marketing,Justin Mendoza,155.11,Senior (50+),True,False,326,example.com,3988.6489999999994
33,Brenda,Walters,ecosta@example.com,(755)612-5674x68071,26,Darrellfurt,Tonga,"Scientist, audiological",124811,2025-05-04,2025-08-10 03:39:47.566825,36,2881.06,Silver,False,HR,Brenda Walters,77.87,Young (18-29),True,True,158,example.com,3096.7419999999997
34,Molly,Murray,lopezmichael@example.com,+1-570-434-8247x7109,30,Andreaside,Ireland,Chief Financial Officer,42363,2024-02-20,2025-09-04 08:38:47.526751,6,3294.91,Gold,False,HR,Molly Murray,470.7,Middle-aged (30-49),True,False,597,example.com,2486.437
38,Crystal,Mccall,juliehamilton@example.org,001-517-824-0050x45562,24,East Gregory,New Zealand,Museum/gallery exhibitions officer,36630,2024-12-05,2025-08-17 08:13:54.820492,41,4996.41,Bronze,True,Marketing,Crystal Mccall,118.96,Young (18-29),True,False,308,example.org,4727.486999999999
41,Julie,Thompson,kristinwalter@example.com,784.324.7451x71236,62,Smithside,British Virgin Islands,"Programme researcher, broadcasting/film/video",125748,2024-06-04,2025-09-01 14:07:22.076367,50,2778.84,Platinum,True,Marketing,Julie Thompson,54.49,Senior (50+),True,True,492,example.com,3445.188
42,Jose,James,daniel37@example.org,+1-285-693-1746x120,36,Wilsonbury,Tuvalu,Soil scientist,58534,2023-12-17,2025-08-23 17:27:28.617856,3,2895.9,Bronze,False,IT,Jose James,723.98,Middle-aged (30-49),True,False,662,example.org,2117.13
46,Anthony,Lutz,gsimmons@example.com,001-771-815-9212x499,60,Shawnchester,Bolivia,Colour technologist,106503,2025-05-24,2025-08-29 15:29:39.995372,36,2613.91,Gold,True,Operations,Anthony Lutz,70.65,Senior (50+),True,True,138,example.com,2909.737
51,Brandon,Foster,smithkevin@example.org,001-724-345-1076x22683,70,Hensleyton,Jordan,Advertising account executive,102692,2024-08-10,2025-08-12 10:53:43.889982,19,4658.78,Bronze,True,Sales,Brandon Foster,232.94,Senior (50+),True,True,425,example.org,3831.1459999999997
52,Lawrence,Patterson,amckinney@example.com,860-352-9751,25,South Brianna,Malta,Careers information officer,146616,2024-06-24,2025-08-19 10:13:55.664279,6,3712.08,Silver,False,Sales,Lawrence Patterson,530.3,Young (18-29),True,True,472,example.com,2778.4559999999997
57,Christopher,Hansen,lisa81@example.net,+1-468-350-5423x57332,78,Meganville,Madagascar,"Solicitor, Scotland",145750,2025-05-11,2025-09-05 15:05:08.172957,44,4519.64,Bronze,False,Finance,Christopher Hansen,100.44,Senior (50+),True,True,151,example.net,4483.748
59,Tracey,Murray,kimberly88@example.com,(339)324-0758,75,Christopherburgh,Faroe Islands,"Production assistant, television",76898,2025-07-01,2025-08-14 12:55:31.716330,13,3410.33,Bronze,False,Finance,Tracey Murray,243.6,Senior (50+),True,False,100,example.com,2777.2309999999998
60,Samuel,Potts,lisawilkerson@example.org,(406)485-3615x30515,74,West Samanthafort,Qatar,Corporate treasurer,144650,2025-03-16,2025-08-24 04:35:37.449587,26,4869.19,Silver,True,Marketing,Samuel Potts,180.34,Senior (50+),True,True,207,example.org,4188.432999999999
61,Christina,Bullock,scottmary@example.net,001-998-361-4341x0369,80,Port Rebeccaside,Andorra,"Scientist, biomedical",134842,2024-11-02,2025-08-31 16:11:10.897638,11,4407.08,Bronze,True,Operations,Christina Bullock,367.26,Senior (50+),True,True,341,example.net,3414.9559999999997
62,Kelly,Smith,john62@example.net,+1-818-751-8888x80670,77,Juliestad,Solomon Islands,Broadcast journalist,73540,2024-05-18,2025-09-01 02:33:07.127600,50,4654.08,Silver,False,Marketing,Kelly Smith,91.26,Senior (50+),True,False,509,example.net,4757.856
66,Antonio,Hernandez,xrush@example.com,001-819-328-5654x31027,59,Kimberlymouth,Croatia,Veterinary surgeon,96768,2024-04-04,2025-09-06 14:41:57.333533,25,3397.59,Gold,True,IT,Antonio Hernandez,130.68,Senior (50+),True,True,553,example.com,3128.313
67,Travis,Martinez,hayesrachel@example.com,455-718-8442,74,North Tracie,Somalia,Corporate treasurer,64237,2024-02-29,2025-08-24 22:31:48.861862,11,2902.95,Gold,True,IT,Travis Martinez,241.91,Senior (50+),True,False,588,example.com,2362.0649999999996
68,Michael,Armstrong,jlara@example.org,+1-711-346-7866x912,56,Owenshaven,Guatemala,"Conservation officer, historic buildings",86959,2025-06-11,2025-09-02 12:37:25.511549,22,3642.73,Gold,False,Finance,Michael Armstrong,158.38,Senior (50+),True,False,120,example.org,3209.911
70,Clarence,Davidson,georgeweber@example.net,690-601-0943x96907,63,Sanchezfurt,French Southern Territories,Professor Emeritus,87154,2023-11-01,2025-08-11 21:58:18.581367,0,2599.6,Silver,False,HR,Clarence Davidson,2599.6,Senior (50+),True,True,708,example.net,1819.7199999999998
71,Scott,Washington,matthewthomas@example.net,556-425-8815x37147,22,North Kellyfurt,Tonga,Warden/ranger,117062,2024-07-10,2025-09-07 23:58:05.729004,21,3115.78,Bronze,False,Finance,Scott Washington,141.63,Young (18-29),True,True,456,example.net,2811.046
73,Dennis,Baker,kathryn50@example.com,9986358416,44,East Theresafurt,Holy See (Vatican City State),"Librarian, academic",117153,2024-10-20,2025-08-21 02:04:15.719368,24,3386.59,Silver,False,HR,Dennis Baker,135.46,Middle-aged (30-49),True,True,354,example.com,3090.613
76,Andrew,Edwards,robertharris@example.net,001-997-702-8385x78652,48,Ericaview,New Zealand,Radio broadcast assistant,134036,2024-01-27,2025-08-17 12:19:41.599287,50,3679.81,Bronze,False,Finance,Andrew Edwards,72.15,Middle-aged (30-49),True,True,621,example.net,4075.8669999999997
80,Amy,Snyder,melissamcdonald@example.org,552-474-2054,43,Wilcoxhaven,Greece,Chartered legal executive (England and Wales),61979,2024-06-28,2025-08-12 23:30:42.194219,9,3280.29,Bronze,True,HR,Amy Snyder,328.03,Middle-aged (30-49),True,False,468,example.org,2566.203
81,Tina,Woods,adamreyes@example.com,001-445-849-9045x30174,32,Hannahport,Heard Island and McDonald Islands,Volunteer coordinator,53053,2024-02-17,2025-09-07 20:08:02.511529,44,2589.79,Bronze,True,IT,Tina Woods,57.55,Middle-aged (30-49),True,False,600,example.com,3132.853
82,Timothy,Gibson,robert87@example.net,+1-533-491-8785x19108,47,West Melissa,Kenya,Commercial horticulturist,47477,2025-01-18,2025-08-31 15:00:55.368340,29,3337.89,Gold,False,Finance,Timothy Gibson,111.26,Middle-aged (30-49),True,False,264,example.net,3206.5229999999997
86,Jeff,Shields,taylorvictoria@example.org,001-695-299-5342x8364,35,Lake Erika,Moldova,Research scientist (life sciences),74020,2023-10-13,2025-08-20 10:48:47.238770,20,4465.13,Bronze,True,Marketing,Jeff Shields,212.63,Middle-aged (30-49),True,False,727,example.org,3725.591
89,Randy,Allen,kimberly67@example.net,+1-754-845-8771x7535,42,New Michelleberg,Andorra,Games developer,148598,2024-10-17,2025-08-27 15:20:14.682514,49,2920.4,Bronze,False,HR,Randy Allen,58.41,Middle-aged (30-49),True,True,357,example.net,3514.2799999999997
90,Jennifer,Phillips,markjames@example.org,485.247.7725x2287,18,Port Melanieton,Serbia,Accounting technician,76105,2024-07-06,2025-09-04 09:27:59.906011,19,3767.38,Platinum,True,HR,Jennifer Phillips,188.37,Young (18-29),True,False,460,example.org,3207.1659999999997
92,Eduardo,Lee,lisa46@example.org,(867)993-3410x166,61,Lake Albertburgh,Belize,Restaurant manager,134614,2025-05-18,2025-08-29 11:10:03.571117,25,3620.91,Platinum,True,Finance,Eduardo Lee,139.27,Senior (50+),True,True,144,example.org,3284.6369999999997
93,Mark,Madden,jacobsonsamantha@example.org,297.440.1489,52,Alexisborough,Namibia,Cytogeneticist,33534,2025-03-11,2025-08-31 11:59:11.948669,25,2959.46,Bronze,True,Operations,Mark Madden,113.83,Senior (50+),True,False,212,example.org,2821.622
97,Joseph,Thomas,ryanfisher@example.com,354-437-9937,59,Adamfurt,Grenada,Web designer,38993,2024-06-12,2025-09-04 23:37:02.020986,49,4786.43,Bronze,True,Marketing,Joseph Thomas,95.73,Senior (50+),True,False,484,example.com,4820.501
98,Scott,Jordan,kevinmorrison@example.net,575.726.5479,30,Ramirezfurt,Haiti,Clothing/textile technologist,139999,2025-07-21,2025-08-16 02:41:25.726258,1,3106.68,Silver,True,HR,Scott Jordan,1553.34,Middle-aged (30-49),True,True,80,example.net,2204.676
99,Wendy,White,bentonsteven@example.net,674.416.7243,60,Mccormickland,Kiribati,"Therapist, sports",44993,2024-08-24,2025-08-22 03:24:50.812278,36,4738.79,Platinum,False,Sales,Wendy White,128.08,Senior (50+),True,False,411,example.net,4397.153
100,William,Knapp,ystephens@example.com,001-789-811-3529x096,28,North Coreybury,Malawi,"Scientist, physiological",109415,2024-10-20,2025-08-30 17:57:10.147603,38,4818.67,Bronze,True,Sales,William Knapp,123.56,Young (18-29),True,True,354,example.com,4513.0689999999995
101,Jeffrey,Brooks,lbarton@example.net,925.507.1461x12545,24,Baileyville,Kazakhstan,Production manager,105849,2024-04-29,2025-08-19 03:01:28.503608,1,4644.44,Platinum,False,Operations,Jeffrey Brooks,2322.22,Young (18-29),True,True,528,example.net,3281.1079999999997
102,Lisa,Wilson,deborah23@example.net,(482)458-6736,30,Fosterborough,Korea,"Therapist, drama",39961,2024-07-19,2025-08-10 06:02:18.512301,37,3453.07,Silver,True,Operations,Lisa Wilson,90.87,Middle-aged (30-49),True,False,447,example.net,3527.149
103,Jason,Ramirez,raylauren@example.net,(755)837-1478,67,Matthewsstad,Guinea,"Programmer, systems",69529,2024-12-03,2025-09-03 12:43:33.555044,43,3002.06,Bronze,True,Sales,Jason Ramirez,68.23,Senior (50+),True,False,310,example.net,3391.442
106,Ariel,Barton,hdunn@example.net,848-358-0783,27,West Nancy,Antigua and Barbuda,"Production assistant, television",87080,2024-03-19,2025-09-04 23:37:05.429290,11,3668.98,Gold,False,HR,Ariel Barton,305.75,Young (18-29),True,False,569,example.net,2898.286
107,Christopher,Grimes,rowejoel@example.net,001-259-762-9233,45,Candiceburgh,Gibraltar,"Horticulturist, commercial",138230,2024-04-07,2025-08-18 03:19:17.227793,46,2962.37,Gold,True,IT,Christopher Grimes,63.03,Middle-aged (30-49),True,True,550,example.net,3453.6589999999997
110,Kathryn,Williams,ksmith@example.com,706.432.4241x541,39,South Conniebury,Japan,"Chemist, analytical",66655,2025-02-04,2025-08-10 03:36:59.699169,38,3505.92,Gold,True,Finance,Kathryn Williams,89.9,Middle-aged (30-49),True,False,247,example.com,3594.144
114,Thomas,Archer,smithcarlos@example.com,800.368.4866,55,West Christopher,Belgium,Sales promotion account executive,78368,2025-07-13,2025-09-08 08:20:24.292247,30,2767.36,Gold,False,Operations,Thomas Archer,89.27,Senior (50+),True,False,88,example.com,2837.152
115,Eric,Murphy,collinssamuel@example.org,6314617990,53,North Jeantown,Central African Republic,Research scientist (maths),73357,2025-08-05,2025-08-25 19:23:53.900192,22,3514.27,Gold,False,Sales,Eric Murphy,152.79,Senior (50+),True,False,65,example.org,3119.989
121,Louis,Nelson,hardingderek@example.net,721-527-7561,29,Parkerview,Timor-Leste,Communications engineer,36734,2023-11-14,2025-09-03 08:18:15.176932,16,4705.32,Platinum,True,IT,Louis Nelson,276.78,Young (18-29),True,False,695,example.net,3773.7239999999997
122,Kevin,Bush,lewismelissa@example.org,235-868-0442,43,Hawkinsside,Egypt,Chief Marketing Officer,94454,2024-08-11,2025-09-03 05:38:24.384927,4,2885.11,Bronze,True,Marketing,Kevin Bush,577.02,Middle-aged (30-49),True,True,424,example.org,2139.577
124,Ronald,Gomez,joshuagriffin@example.org,9992934768,66,West Patrickchester,Cook Islands,Secondary school teacher,84548,2024-03-09,2025-09-08 22:34:38.222940,38,2980.63,Silver,False,HR,Ronald Gomez,76.43,Senior (50+),True,False,579,example.org,3226.441
125,Amy,Smith,wcasey@example.com,+1-275-798-5642,76,North Paula,Slovakia (Slovak Republic),Health visitor,88028,2023-10-21,2025-09-08 20:44:13.190332,19,4300.83,Platinum,False,Finance,Amy Smith,215.04,Senior (50+),True,True,719,example.com,3580.5809999999997
126,Alyssa,Wang,terrigarcia@example.net,448.503.9652,57,Lindastad,United States Minor Outlying Islands,"Therapist, art",37894,2023-09-29,2025-08-31 03:14:17.602287,39,4800.54,Bronze,True,Operations,Alyssa Wang,120.01,Senior (50+),True,False,741,example.net,4530.378
130,Christopher,Fletcher,sean43@example.org,001-915-841-0067x626,32,Amyville,Switzerland,Quality manager,64675,2025-04-07,2025-08-27 11:02:03.832499,50,3956.24,Silver,False,IT,Christopher Fletcher,77.57,Middle-aged (30-49),True,False,185,example.org,4269.3679999999995
133,Kelly,Miller,parkerraymond@example.com,+1-941-686-2565x27047,47,Port Joseph,Bahamas,Dentist,120266,2025-03-11,2025-08-30 03:24:42.246077,19,3498.67,Gold,False,HR,Kelly Miller,174.93,Middle-aged (30-49),True,True,212,example.com,3019.069
134,Christopher,Cooper,larellano@example.org,+1-906-686-8793,23,South Raventon,Macao,"Teacher, English as a foreign language",108385,2025-06-28,2025-09-03 03:09:31.272780,2,4447.11,Gold,False,IT,Christopher Cooper,1482.37,Young (18-29),True,True,103,example.org,3172.9769999999994
135,Erica,Oliver,averyshane@example.org,632.706.1632,23,North Paulfurt,Micronesia,"Journalist, magazine",60005,2025-05-27,2025-08-25 17:00:35.756189,43,4179.79,Bronze,False,Finance,Erica Oliver,95.0,Young (18-29),True,False,135,example.org,4215.852999999999
137,Richard,Montgomery,vwilliams@example.net,607.945.0544,55,Port Jeremyport,Samoa,Probation officer,87132,2025-03-27,2025-08-19 17:51:34.673309,40,4071.22,Bronze,False,Sales,Richard Montgomery,99.3,Senior (50+),True,True,196,example.net,4049.854
138,Jessica,Jacobs,lopezjason@example.com,001-278-450-8214x8628,44,Port James,Azerbaijan,Fisheries officer,73687,2023-10-03,2025-08-11 15:14:13.658146,20,3350.67,Silver,False,HR,Jessica Jacobs,159.56,Middle-aged (30-49),True,False,737,example.com,2945.469
139,Michael,Gonzalez,madison86@example.net,703-757-9727,62,Port Patricia,San Marino,Chemical engineer,94942,2024-04-04,2025-08-21 17:09:42.218561,18,3312.92,Platinum,True,HR,Michael Gonzalez,174.36,Senior (50+),True,True,553,example.net,2859.044
144,Vincent,Dillon,amoreno@example.org,(423)356-9725,80,Cookburgh,Germany,Barrister,112578,2023-09-12,2025-08-18 07:46:28.218826,38,3996.57,Silver,False,Finance,Vincent Dillon,102.48,Senior (50+),True,True,758,example.org,3937.599
148,Amy,Wells,jamiejennings@example.org,661-384-9926x1891,76,South Jamesborough,Slovakia (Slovak Republic),General practice doctor,108561,2025-05-08,2025-09-08 07:28:50.320251,32,3731.46,Silver,True,Sales,Amy Wells,113.07,Senior (50+),True,True,154,example.org,3572.022
150,Gregg,Williams,michael56@example.net,610-302-2557,64,Lisaburgh,Brazil,Oncologist,69132,2024-06-27,2025-08-23 19:32:32.275904,37,2899.62,Platinum,True,HR,Gregg Williams,76.31,Senior (50+),True,False,469,example.net,3139.7339999999995
154,Angela,Smith,connersylvia@example.net,988-737-5503x7589,68,Wilsonbury,Afghanistan,Licensed conveyancer,137577,2024-05-25,2025-08-29 03:04:13.779777,41,4904.09,Platinum,True,Marketing,Angela Smith,116.76,Senior (50+),True,True,502,example.net,4662.862999999999
155,Lauren,Kelley,jacqueline02@example.com,(561)949-3316,50,Lake Matthew,Saudi Arabia,Patent examiner,107356,2023-10-12,2025-08-29 02:46:03.291991,21,4348.5,Platinum,True,Finance,Lauren Kelley,197.66,Senior (50+),True,True,728,example.com,3673.95
156,Emily,Martinez,lellis@example.net,(470)480-8697,76,North Paul,Netherlands Antilles,Trading standards officer,89890,2025-06-15,2025-08-25 05:47:37.429363,0,3612.22,Platinum,True,IT,Emily Martinez,3612.22,Senior (50+),True,True,116,example.net,2528.5539999999996
160,Deborah,Fischer,kimberlybrandt@example.com,621.422.8160x648,23,New Meghan,Albania,Lawyer,86881,2024-08-14,2025-09-07 05:49:49.615620,6,3801.85,Bronze,False,Marketing,Deborah Fischer,543.12,Young (18-29),True,False,421,example.com,2841.2949999999996
163,Leah,Griffin,phillipsdenise@example.com,811.328.8013x36138,29,North Stephen,Greenland,Applications developer,40350,2023-11-11,2025-08-11 17:54:26.839751,39,4354.2,Silver,False,Finance,Leah Griffin,108.85,Young (18-29),True,False,698,example.com,4217.94
164,Laura,Grant,rhondarussell@example.com,+1-366-750-6180x9190,27,West Kristinport,New Caledonia,Chartered legal executive (England and Wales),60433,2024-04-01,2025-09-06 22:03:06.760299,29,3189.52,Platinum,False,Operations,Laura Grant,106.32,Young (18-29),True,False,556,example.com,3102.6639999999998
165,Patrick,Short,wellsamanda@example.org,001-268-842-4508x8210,18,West Jasonstad,Croatia,Passenger transport manager,147821,2025-07-02,2025-09-04 15:53:05.342677,29,4506.05,Silver,True,HR,Patrick Short,150.2,Young (18-29),True,True,99,example.org,4024.235
167,Kevin,Silva,lindsey62@example.org,333-464-5257x77547,72,Port Juanberg,Uganda,Solicitor,69599,2024-01-30,2025-09-01 02:59:11.647379,12,4996.87,Platinum,True,Marketing,Kevin Silva,384.37,Senior (50+),True,False,618,example.org,3857.8089999999997
168,Courtney,Luna,atkinsoncrystal@example.net,001-969-430-8488,42,Philipshire,Saint Martin,Horticultural therapist,104963,2023-12-15,2025-08-25 03:38:35.260210,22,2874.06,Gold,True,Operations,Courtney Luna,124.96,Middle-aged (30-49),True,True,664,example.net,2671.8419999999996
169,Christopher,Cox,batesmelanie@example.net,+1-928-527-2299x27503,43,West Miketon,Paraguay,"Engineer, maintenance",65976,2024-09-21,2025-09-02 20:41:09.504947,0,2829.65,Bronze,False,Sales,Christopher Cox,2829.65,Middle-aged (30-49),True,False,383,example.net,1980.7549999999999
170,Paul,Hardin,williamsdeborah@example.org,001-384-649-8926x659,67,Kaufmanbury,Maldives,"Optician, dispensing",134708,2024-05-23,2025-09-05 03:35:32.741490,14,3035.32,Gold,True,Operations,Paul Hardin,202.35,Senior (50+),True,True,504,example.org,2544.724
171,Tommy,Olson,shawdon@example.org,318.543.2225,30,Shepherdville,Liberia,Quality manager,111381,2024-08-24,2025-08-27 20:12:14.009713,16,3388.82,Silver,True,Operations,Tommy Olson,199.34,Middle-aged (30-49),True,True,411,example.org,2852.174
172,Deborah,Jenkins,bradleyberry@example.org,(880)292-0242,59,Staceyborough,Kiribati,Training and development officer,35167,2025-09-03,2025-09-05 03:17:31.818187,19,3943.05,Bronze,False,Operations,Deborah Jenkins,197.15,Senior (50+),True,False,36,example.org,3330.1349999999998
174,Gregory,Valenzuela,richamanda@example.org,772-298-0686,26,Perezfort,Somalia,Museum/gallery curator,133089,2024-05-22,2025-09-03 06:09:41.732814,34,4382.3,Gold,False,Marketing,Gregory Valenzuela,125.21,Young (18-29),True,True,505,example.org,4087.61
175,Rebecca,Hood,colemanjonathan@example.org,349-286-4300,34,Penamouth,Ireland,Medical illustrator,149806,2023-11-25,2025-08-22 21:36:21.558894,30,4836.92,Gold,False,IT,Rebecca Hood,156.03,Middle-aged (30-49),True,True,684,example.org,4285.844
176,Brenda,Green,ncunningham@example.com,+1-763-868-8725x88744,47,Port Michelle,British Indian Ocean Territory (Chagos Archipelago),Event organiser,39869,2024-07-31,2025-08-31 02:20:19.258429,9,3770.76,Silver,False,Finance,Brenda Green,377.08,Middle-aged (30-49),True,False,435,example.com,2909.532
178,Diana,Mitchell,bautistalori@example.net,470.238.4309x8839,41,Johntown,Cayman Islands,Chartered legal executive (England and Wales),118188,2025-09-06,2025-09-02 12:11:56.102307,47,3361.7,Platinum,False,IT,Diana Mitchell,70.04,Middle-aged (30-49),True,True,33,example.net,3763.1899999999996
180,Wesley,Morgan,prattsue@example.net,001-947-269-7357,22,Wilsonland,Hong Kong,English as a second language teacher,113283,2025-01-15,2025-08-17 00:23:02.919223,29,4546.94,Gold,False,IT,Wesley Morgan,151.56,Young (18-29),True,True,267,example.net,4052.8579999999997
183,Brian,Lloyd,cayers@example.net,(362)771-8750x036,78,Chloeview,Colombia,Sports therapist,127404,2024-03-19,2025-08-18 04:48:30.130929,44,4729.87,Platinum,True,HR,Brian Lloyd,105.11,Senior (50+),True,True,569,example.net,4630.909
184,Susan,Cooper,victorclark@example.net,001-855-864-7292x93143,59,East Lauren,Saint Vincent and the Grenadines,Dealer,42978,2024-08-19,2025-08-10 09:50:56.018524,31,3078.26,Gold,True,Operations,Susan Cooper,96.2,Senior (50+),True,False,416,example.net,3084.782
186,Andrew,Martinez,barbarasantos@example.net,(645)958-7716,80,Port Gary,Sri Lanka,Leisure centre manager,119873,2024-07-13,2025-08-28 11:41:51.878042,23,2722.33,Gold,True,HR,Andrew Martinez,113.43,Senior (50+),True,True,453,example.net,2595.631
187,Richard,Meadows,martinjeremy@example.com,+1-444-296-4759x8762,35,Lake Jimmy,El Salvador,Cartographer,54878,2024-02-09,2025-08-22 00:42:26.151915,7,4745.05,Platinum,True,Operations,Richard Meadows,593.13,Middle-aged (30-49),True,False,608,example.com,3531.535
188,Cody,Zuniga,bkelley@example.com,411.449.2164x33472,31,North Elizabethmouth,Tonga,Publishing copy,114109,2024-08-15,2025-09-05 05:52:52.323991,40,2985.73,Bronze,True,Sales,Cody Zuniga,72.82,Middle-aged (30-49),True,True,420,example.com,3290.011
189,Sarah,Dunn,tarawolfe@example.org,001-997-596-8845,33,South Kylechester,Eritrea,"Designer, furniture",46505,2024-04-17,2025-08-10 02:54:03.361856,50,2822.89,Bronze,True,Finance,Sarah Dunn,55.35,Middle-aged (30-49),True,False,540,example.org,3476.0229999999997
191,Christian,Garrett,justin84@example.com,612.924.1797,72,West Andrew,Australia,Social researcher,48964,2023-09-25,2025-09-08 06:54:50.112138,8,2701.08,Silver,True,Operations,Christian Garrett,300.12,Senior (50+),True,False,745,example.com,2130.756
194,Julie,Dunn,kingdanielle@example.org,(803)513-6502x491,22,North Biancafort,Portugal,"Therapist, occupational",92422,2023-12-31,2025-09-02 05:48:29.824005,28,3890.09,Bronze,False,Finance,Julie Dunn,134.14,Young (18-29),True,True,648,example.org,3563.063
195,John,Porter,sarah00@example.com,+1-828-712-7358x5730,32,West Rachel,Libyan Arab Jamahiriya,Primary school teacher,110623,2024-10-21,2025-08-26 09:36:10.727080,2,3636.21,Gold,False,Operations,John Porter,1212.07,Middle-aged (30-49),True,True,353,example.com,2605.3469999999998
196,Tracy,Knight,mario74@example.net,+1-721-982-7448,79,Port Danafurt,Saint Martin,Electrical engineer,34082,2025-06-15,2025-08-28 17:02:36.100230,3,4992.93,Platinum,False,Operations,Tracy Knight,1248.23,Senior (50+),True,False,116,example.net,3585.051
197,Michael,Oliver,jennifer86@example.org,478.429.4565x11810,24,East Danielborough,Bolivia,Ambulance person,94260,2024-10-30,2025-09-04 04:58:12.372964,45,4548.5,Bronze,True,Sales,Michael Oliver,98.88,Young (18-29),True,True,344,example.org,4533.95
200,Diane,Ferguson,umahoney@example.net,956-965-9398x36845,25,Smithton,Finland,"Therapist, occupational",141777,2023-09-20,2025-08-14 04:05:46.158619,41,3254.58,Silver,False,HR,Diane Ferguson,77.49,Young (18-29),True,True,750,example.net,3508.2059999999997
207,Sierra,Jones,elizabeth51@example.org,963-268-1579x8123,37,East Sandraport,Grenada,Recruitment consultant,76090,2024-06-22,2025-08-14 19:52:41.609531,6,2889.59,Silver,True,Operations,Sierra Jones,412.8,Middle-aged (30-49),True,False,474,example.org,2202.7129999999997
209,Jamie,Taylor,michelleparker@example.net,226.729.2518x81252,54,Aliport,Kenya,Graphic designer,59643,2023-12-29,2025-08-15 18:08:47.896992,27,4225.78,Bronze,False,IT,Jamie Taylor,150.92,Senior (50+),True,False,650,example.net,3768.046
210,David,Johnson,catherine93@example.net,930.751.7289,29,Port Paul,Lebanon,"Copywriter, advertising",65818,2024-01-06,2025-08-16 21:45:03.771741,44,3812.05,Gold,False,IT,David Johnson,84.71,Young (18-29),True,False,642,example.net,3988.435
211,Ricky,Novak,stephanie33@example.org,827-297-5736,29,Cortezfurt,New Zealand,"Teacher, music",144014,2024-11-16,2025-08-25 21:00:01.538174,9,2831.61,Platinum,True,Marketing,Ricky Novak,283.16,Young (18-29),True,True,327,example.org,2252.127
