customer_id,first_name,last_name,email,phone,age,city,country,job_title,salary,registration_date,last_login,orders_count,total_spent,customer_segment,is_active,department
27,John,Russell,hannahbrewer@example.com,701.843.6349x578,28,Michaelmouth,Faroe Islands,Information officer,64741,2024-03-10,2025-08-13 17:42:24.053278,33,4362.17,Platinum,True,Finance
28,James,Wilson,jamesrodgers@example.com,001-498-694-1343x5240,66,North Angelaberg,Northern Mariana Islands,Recycling officer,125673,2023-11-22,2025-08-10 11:39:55.925549,44,1005.76,Gold,False,Operations
29,Justin,Mendoza,jack04@example.com,616-371-9022,59,North Angela,Israel,Trading standards officer,78944,2024-11-17,2025-08-28 16:05:44.369673,28,4498.07,Platinum,True,Marketing
30,Kimberly,James,levans@example.com,399-409-1334x1232,32,South Shannonfort,French Guiana,Amenity horticulturist,38392,2024-02-25,2025-08-31 07:50:33.511046,21,105.17,Silver,True,IT
31,Jacqueline,Gibson,sandrafrench@example.net,001-336-218-3242,22,Port Kyle,San Marino,"Teacher, adult education",122778,2025-07-13,2025-08-23 07:01:29.738962,40,294.37,Bronze,True,Sales
32,Taylor,Torres,gbender@example.net,271.690.6594x0139,22,Port Katelynfort,Maldives,Private music teacher,97391,2025-07-09,2025-08-15 13:30:23.869602,15,1392.39,Platinum,True,Finance
33,Brenda,Walters,ecosta@example.com,(755)612-5674x68071,26,Darrellfurt,Tonga,"Scientist, audiological",124811,2025-05-04,2025-08-10 03:39:47.566825,36,2881.06,Silver,False,HR
34,Molly,Murray,lopezmichael@example.com,+1-570-434-8247x7109,30,Andreaside,Ireland,Chief Financial Officer,42363,2024-02-20,2025-09-04 08:38:47.526751,6,3294.91,Gold,False,HR
35,Daniel,Valentine,tyronemoran@example.net,001-446-377-3782x639,47,Kendrachester,Guam,"Runner, broadcasting/film/video",143224,2024-03-22,2025-08-10 04:40:53.152257,46,270.86,Bronze,True,HR
36,Jessica,Monroe,cgrimes@example.net,855.288.6753x3963,64,Juliefurt,Hungary,"Designer, blown glass/stained glass",74473,2024-09-05,2025-08-11 05:29:18.832608,6,1243.28,Silver,False,Marketing
37,Wayne,Lawrence,sawyerscott@example.net,702.862.1745x961,45,Courtneyfort,Tunisia,Special educational needs teacher,54050,2023-10-05,2025-08-12 04:05:50.576694,17,2313.14,Bronze,False,Finance
38,Crystal,Mccall,juliehamilton@example.org,001-517-824-0050x45562,24,East Gregory,New Zealand,Museum/gallery exhibitions officer,36630,2024-12-05,2025-08-17 08:13:54.820492,41,4996.41,Bronze,True,Marketing
39,Roberta,Thomas,dlittle@example.com,+1-607-548-2175x94647,28,Castanedaville,Dominica,Museum/gallery curator,83269,2024-10-31,2025-08-27 08:41:56.523023,31,2406.79,Platinum,True,Marketing
40,Victoria,Phillips,khill@example.net,001-209-674-3953x39421,42,Johnsonstad,Saint Martin,"Conservator, museum/gallery",30282,2023-11-13,2025-08-18 23:18:50.290623,24,1326.02,Platinum,False,HR
41,Julie,Thompson,kristinwalter@example.com,784.324.7451x71236,62,Smithside,British Virgin Islands,"Programme researcher, broadcasting/film/video",125748,2024-06-04,2025-09-01 14:07:22.076367,50,2778.84,Platinum,True,Marketing
42,Jose,James,daniel37@example.org,+1-285-693-1746x120,36,Wilsonbury,Tuvalu,Soil scientist,58534,2023-12-17,2025-08-23 17:27:28.617856,3,2895.9,Bronze,False,IT
43,Ellen,Paul,umatthews@example.org,(717)796-4053x77351,21,South Joshuaville,Yemen,"Programme researcher, broadcasting/film/video",106569,2023-11-15,2025-08-16 11:33:02.273577,30,2514.25,Silver,True,Finance
44,Danielle,Maddox,buchananjohn@example.org,001-431-283-9335,23,Micheleberg,Bulgaria,"Sound technician, broadcasting/film/video",141587,2024-03-10,2025-08-15 08:28:20.537376,11,342.61,Bronze,True,HR
45,Donna,Johnson,howardkristina@example.net,302-940-2681x17758,25,New Bradley,Slovenia,"Scientist, research (life sciences)",146691,2024-04-16,2025-08-29 10:02:23.053461,36,1231.08,Bronze,True,HR
46,Anthony,Lutz,gsimmons@example.com,001-771-815-9212x499,60,Shawnchester,Bolivia,Colour technologist,106503,2025-05-24,2025-08-29 15:29:39.995372,36,2613.91,Gold,True,Operations
47,Kayla,Le,russellbeasley@example.com,376-361-5654x52711,63,Davisstad,Sudan,"Conservator, furniture",71180,2024-10-19,2025-08-27 17:05:21.494461,15,1328.07,Silver,False,HR
48,Anna,Rivera,jenkinsmorgan@example.com,001-304-794-5198x3273,38,Dannyview,Montserrat,Equities trader,128548,2025-04-21,2025-09-04 11:20:46.178163,4,46.58,Bronze,True,Finance
49,Terri,Cardenas,lynchdiane@example.net,302-444-5502x296,31,North Julieborough,Honduras,Personnel officer,96307,2024-08-05,2025-08-14 20:10:08.842990,16,662.28,Gold,True,Marketing
50,Larry,Nguyen,wareeric@example.net,6145767976,41,West Russellport,Philippines,"Therapist, horticultural",67353,2024-08-29,2025-08-30 03:10:11.592245,10,2190.92,Gold,True,Operations
51,Brandon,Foster,smithkevin@example.org,001-724-345-1076x22683,70,Hensleyton,Jordan,Advertising account executive,102692,2024-08-10,2025-08-12 10:53:43.889982,19,4658.78,Bronze,True,Sales
52,Lawrence,Patterson,amckinney@example.com,860-352-9751,25,South Brianna,Malta,Careers information officer,146616,2024-06-24,2025-08-19 10:13:55.664279,6,3712.08,Silver,False,Sales
53,Matthew,Cook,charlesschultz@example.net,435.952.3124x32921,56,Webstershire,Kiribati,Systems analyst,57607,2024-12-22,2025-09-08 17:08:14.808531,45,1714.4,Gold,False,Sales
54,Marcus,Maddox,edward17@example.com,+1-744-690-5814x7700,75,Lake Michelleland,Nicaragua,"Therapist, music",149034,2024-09-13,2025-08-23 23:59:12.619940,3,461.49,Platinum,False,IT
55,Angela,Conner,colelisa@example.net,759.378.2071,18,North John,Kazakhstan,Print production planner,73719,2024-09-26,2025-08-28 09:53:39.613188,49,654.1,Gold,True,Operations
56,Michael,Hardin,vortiz@example.net,+1-705-315-1864x492,46,West Kyle,Palau,"Nurse, children's",102309,2023-12-12,2025-08-31 09:11:41.765250,45,2138.43,Bronze,True,IT
57,Christopher,Hansen,lisa81@example.net,+1-468-350-5423x57332,78,Meganville,Madagascar,"Solicitor, Scotland",145750,2025-05-11,2025-09-05 15:05:08.172957,44,4519.64,Bronze,False,Finance
58,Benjamin,Rogers,carlamoore@example.org,001-592-570-6537x947,53,Tammyfort,United Kingdom,"Engineer, biomedical",49410,2024-06-03,2025-09-07 12:46:05.401273,27,637.23,Gold,False,IT
59,Tracey,Murray,kimberly88@example.com,(339)324-0758,75,Christopherburgh,Faroe Islands,"Production assistant, television",76898,2025-07-01,2025-08-14 12:55:31.716330,13,3410.33,Bronze,False,Finance
60,Samuel,Potts,lisawilkerson@example.org,(406)485-3615x30515,74,West Samanthafort,Qatar,Corporate treasurer,144650,2025-03-16,2025-08-24 04:35:37.449587,26,4869.19,Silver,True,Marketing
61,Christina,Bullock,scottmary@example.net,001-998-361-4341x0369,80,Port Rebeccaside,Andorra,"Scientist, biomedical",134842,2024-11-02,2025-08-31 16:11:10.897638,11,4407.08,Bronze,True,Operations
62,Kelly,Smith,john62@example.net,+1-818-751-8888x80670,77,Juliestad,Solomon Islands,Broadcast journalist,73540,2024-05-18,2025-09-01 02:33:07.127600,50,4654.08,Silver,False,Marketing
63,Courtney,Ingram,dennis58@example.com,+1-227-772-2170x4303,68,Zacharyside,Lebanon,Forensic scientist,121917,2023-10-05,2025-08-29 12:36:10.092891,6,1912.71,Bronze,False,Marketing
64,Justin,Atkins,glennmartin@example.org,(366)876-5277x584,30,South Carrieburgh,Mayotte,Hospital doctor,137031,2024-04-30,2025-08-12 12:29:02.617507,29,1748.29,Silver,True,IT
65,Donna,Parker,cjackson@example.com,205.496.4016x582,60,Johnsonland,Dominica,Medical technical officer,55313,2024-05-30,2025-09-07 14:27:02.753993,25,1641.31,Bronze,False,Sales
66,Antonio,Hernandez,xrush@example.com,001-819-328-5654x31027,59,Kimberlymouth,Croatia,Veterinary surgeon,96768,2024-04-04,2025-09-06 14:41:57.333533,25,3397.59,Gold,True,IT
67,Travis,Martinez,hayesrachel@example.com,455-718-8442,74,North Tracie,Somalia,Corporate treasurer,64237,2024-02-29,2025-08-24 22:31:48.861862,11,2902.95,Gold,True,IT
68,Michael,Armstrong,jlara@example.org,+1-711-346-7866x912,56,Owenshaven,Guatemala,"Conservation officer, historic buildings",86959,2025-06-11,2025-09-02 12:37:25.511549,22,3642.73,Gold,False,Finance
69,Danielle,White,ryanbartlett@example.org,682-342-2535,80,Jamesside,Falkland Islands (Malvinas),Comptroller,97033,2024-12-08,2025-08-28 13:13:22.097375,7,1925.98,Silver,False,IT
70,Clarence,Davidson,georgeweber@example.net,690-601-0943x96907,63,Sanchezfurt,French Southern Territories,Professor Emeritus,87154,2023-11-01,2025-08-11 21:58:18.581367,0,2599.6,Silver,False,HR
71,Scott,Washington,matthewthomas@example.net,556-425-8815x37147,22,North Kellyfurt,Tonga,Warden/ranger,117062,2024-07-10,2025-09-07 23:58:05.729004,21,3115.78,Bronze,False,Finance
72,Rachel,Li,james27@example.net,774.270.1687x339,37,West Troyfort,France,Software engineer,117410,2023-09-14,2025-08-13 08:13:56.442690,26,1630.91,Gold,True,Marketing
73,Dennis,Baker,kathryn50@example.com,9986358416,44,East Theresafurt,Holy See (Vatican City State),"Librarian, academic",117153,2024-10-20,2025-08-21 02:04:15.719368,24,3386.59,Silver,False,HR
74,Drew,Morrison,cporter@example.org,(757)787-2982,53,South Vicki,Saint Vincent and the Grenadines,Hydrographic surveyor,139278,2024-11-16,2025-08-25 08:06:04.444234,0,1519.37,Silver,False,Finance
75,William,Burns,thomas05@example.com,+1-916-494-0974x99309,56,Hernandezbury,Antigua and Barbuda,"Teacher, primary school",115813,2025-08-02,2025-08-13 09:57:33.191297,20,2324.94,Platinum,True,Finance
76,Andrew,Edwards,robertharris@example.net,001-997-702-8385x78652,48,Ericaview,New Zealand,Radio broadcast assistant,134036,2024-01-27,2025-08-17 12:19:41.599287,50,3679.81,Bronze,False,Finance
77,Angela,Walker,kellie37@example.com,258.644.1986x6524,60,West Sandraview,San Marino,Quality manager,112960,2024-02-12,2025-09-03 22:57:34.815493,39,1675.94,Silver,False,Marketing
78,Joseph,Hoffman,derrick99@example.org,908.333.0165,69,North Tamara,Vanuatu,"Designer, industrial/product",56100,2024-07-02,2025-09-07 04:03:27.199561,9,122.13,Silver,False,Finance
79,Natalie,Woods,katelynmitchell@example.com,+1-401-693-8026x2067,72,North Kennethville,Vanuatu,Legal executive,130727,2024-04-04,2025-09-08 18:59:09.826470,4,2277.08,Silver,False,HR
80,Amy,Snyder,melissamcdonald@example.org,552-474-2054,43,Wilcoxhaven,Greece,Chartered legal executive (England and Wales),61979,2024-06-28,2025-08-12 23:30:42.194219,9,3280.29,Bronze,True,HR
81,Tina,Woods,adamreyes@example.com,001-445-849-9045x30174,32,Hannahport,Heard Island and McDonald Islands,Volunteer coordinator,53053,2024-02-17,2025-09-07 20:08:02.511529,44,2589.79,Bronze,True,IT
82,Timothy,Gibson,robert87@example.net,+1-533-491-8785x19108,47,West Melissa,Kenya,Commercial horticulturist,47477,2025-01-18,2025-08-31 15:00:55.368340,29,3337.89,Gold,False,Finance
83,Tracy,Nolan,dstokes@example.org,367.290.8740x64039,70,Cooperland,Mauritius,Best boy,124276,2025-07-23,2025-08-12 04:31:41.626848,32,2133.7,Platinum,True,Operations
84,Sarah,Johnson,iwhite@example.net,001-865-467-6618x2512,73,Port Adam,Angola,Hydrogeologist,92216,2024-08-12,2025-08-31 16:34:55.583228,28,1295.96,Silver,False,Finance
85,Roger,Gray,johnreed@example.com,310.269.0331,49,Harperton,Ecuador,Armed forces operational officer,112149,2024-06-29,2025-08-17 03:33:31.409840,15,1372.99,Bronze,False,Marketing
86,Jeff,Shields,taylorvictoria@example.org,001-695-299-5342x8364,35,Lake Erika,Moldova,Research scientist (life sciences),74020,2023-10-13,2025-08-20 10:48:47.238770,20,4465.13,Bronze,True,Marketing
87,Dawn,James,heather62@example.com,(428)873-3427x0866,32,West James,Oman,Careers information officer,80205,2025-07-14,2025-09-04 12:46:13.736304,44,764.03,Silver,True,HR
88,Christopher,Hardy,brettbennett@example.net,+1-501-539-8373x540,44,Lake Yvonnefort,United States Virgin Islands,Financial manager,73369,2025-01-29,2025-08-31 05:32:52.166296,34,2329.62,Bronze,True,HR
89,Randy,Allen,kimberly67@example.net,+1-754-845-8771x7535,42,New Michelleberg,Andorra,Games developer,148598,2024-10-17,2025-08-27 15:20:14.682514,49,2920.4,Bronze,False,HR
90,Jennifer,Phillips,markjames@example.org,485.247.7725x2287,18,Port Melanieton,Serbia,Accounting technician,76105,2024-07-06,2025-09-04 09:27:59.906011,19,3767.38,Platinum,True,HR
91,Jesse,Mann,robinsonstephen@example.org,+1-697-670-0886x008,32,New Lisachester,Sri Lanka,Editorial assistant,65774,2023-11-26,2025-08-13 00:10:49.603532,27,2428.21,Platinum,False,Operations
92,Eduardo,Lee,lisa46@example.org,(867)993-3410x166,61,Lake Albertburgh,Belize,Restaurant manager,134614,2025-05-18,2025-08-29 11:10:03.571117,25,3620.91,Platinum,True,Finance
93,Mark,Madden,jacobsonsamantha@example.org,297.440.1489,52,Alexisborough,Namibia,Cytogeneticist,33534,2025-03-11,2025-08-31 11:59:11.948669,25,2959.46,Bronze,True,Operations
94,Raymond,Jones,anneknight@example.com,+1-885-762-1850x16315,45,Lake Joshuamouth,Liechtenstein,Estate agent,47786,2024-05-26,2025-09-07 08:27:26.254164,29,908.65,Gold,False,Sales
95,Ryan,Frazier,nmiller@example.com,711.342.6265,31,North Sherrymouth,Guyana,Geophysicist/field seismologist,89598,2023-11-22,2025-08-12 17:41:18.426265,20,1687.5,Platinum,False,HR
96,Ryan,Hawkins,fgarcia@example.com,+1-819-395-6046,34,New Adriana,Poland,Museum/gallery conservator,139433,2024-01-10,2025-08-18 04:27:21.953470,5,2351.53,Bronze,False,Marketing
97,Joseph,Thomas,ryanfisher@example.com,354-437-9937,59,Adamfurt,Grenada,Web designer,38993,2024-06-12,2025-09-04 23:37:02.020986,49,4786.43,Bronze,True,Marketing
98,Scott,Jordan,kevinmorrison@example.net,575.726.5479,30,Ramirezfurt,Haiti,Clothing/textile technologist,139999,2025-07-21,2025-08-16 02:41:25.726258,1,3106.68,Silver,True,HR
99,Wendy,White,bentonsteven@example.net,674.416.7243,60,Mccormickland,Kiribati,"Therapist, sports",44993,2024-08-24,2025-08-22 03:24:50.812278,36,4738.79,Platinum,False,Sales
100,William,Knapp,ystephens@example.com,001-789-811-3529x096,28,North Coreybury,Malawi,"Scientist, physiological",109415,2024-10-20,2025-08-30 17:57:10.147603,38,4818.67,Bronze,True,Sales
101,Jeffrey,Brooks,lbarton@example.net,925.507.1461x12545,24,Baileyville,Kazakhstan,Production manager,105849,2024-04-29,2025-08-19 03:01:28.503608,1,4644.44,Platinum,False,Operations
102,Lisa,Wilson,deborah23@example.net,(482)458-6736,30,Fosterborough,Korea,"Therapist, drama",39961,2024-07-19,2025-08-10 06:02:18.512301,37,3453.07,Silver,True,Operations
103,Jason,Ramirez,raylauren@example.net,(755)837-1478,67,Matthewsstad,Guinea,"Programmer, systems",69529,2024-12-03,2025-09-03 12:43:33.555044,43,3002.06,Bronze,True,Sales
104,Janice,Evans,powerslawrence@example.org,412-952-8669x2966,52,New Garrett,France,Counselling psychologist,86148,2024-01-23,2025-09-04 09:03:49.675042,42,1852.85,Gold,True,HR
105,Christine,Glenn,washingtonjames@example.com,+1-387-267-6772,70,West Antonio,Czech Republic,Soil scientist,94251,2024-04-07,2025-09-02 12:58:02.591738,6,2167.62,Gold,False,Operations
106,Ariel,Barton,hdunn@example.net,848-358-0783,27,West Nancy,Antigua and Barbuda,"Production assistant, television",87080,2024-03-19,2025-09-04 23:37:05.429290,11,3668.98,Gold,False,HR
107,Christopher,Grimes,rowejoel@example.net,001-259-762-9233,45,Candiceburgh,Gibraltar,"Horticulturist, commercial",138230,2024-04-07,2025-08-18 03:19:17.227793,46,2962.37,Gold,True,IT
108,Michele,Duke,taylorkaren@example.com,9424232536,35,Courtneyfurt,Korea,Call centre manager,145557,2024-12-15,2025-09-05 12:31:28.210749,28,1219.32,Platinum,False,Sales
109,Christopher,Robertson,heather57@example.com,790-617-5186x36374,19,Amyberg,Mongolia,Radio producer,94789,2025-04-07,2025-09-05 22:37:32.873636,20,909.2,Silver,False,Sales
110,Kathryn,Williams,ksmith@example.com,706.432.4241x541,39,South Conniebury,Japan,"Chemist, analytical",66655,2025-02-04,2025-08-10 03:36:59.699169,38,3505.92,Gold,True,Finance
111,Thomas,Anderson,aprilwallace@example.org,001-751-762-7136x111,78,Derrickberg,Norway,Customer service manager,55042,2023-10-29,2025-08-27 00:24:14.827905,5,1206.78,Platinum,False,Finance
112,Chelsey,Martin,jennifer26@example.net,+1-673-311-2196x56523,66,New Carolyn,Saint Helena,Translator,61499,2024-04-04,2025-09-07 08:33:19.803292,44,2380.47,Platinum,False,IT
113,Anthony,Boone,jamie98@example.org,001-264-703-7613x7918,23,Davidshire,Italy,Medical secretary,68566,2024-10-12,2025-08-15 07:13:44.649095,14,2022.01,Silver,False,Operations
114,Thomas,Archer,smithcarlos@example.com,800.368.4866,55,West Christopher,Belgium,Sales promotion account executive,78368,2025-07-13,2025-09-08 08:20:24.292247,30,2767.36,Gold,False,Operations
115,Eric,Murphy,collinssamuel@example.org,6314617990,53,North Jeantown,Central African Republic,Research scientist (maths),73357,2025-08-05,2025-08-25 19:23:53.900192,22,3514.27,Gold,False,Sales
116,Krista,Le,nathanbrady@example.com,001-710-256-4814x9177,32,Villarrealburgh,Heard Island and McDonald Islands,"Designer, industrial/product",45814,2024-03-13,2025-08-13 04:55:33.539737,46,962.92,Bronze,True,Marketing
117,Audrey,Sharp,joycesmith@example.org,807.556.2208,31,Johnmouth,Faroe Islands,Careers adviser,126810,2024-10-30,2025-08-13 16:48:11.209717,30,1382.5,Gold,True,Marketing
118,Emily,Williams,lindajarvis@example.com,774-545-1870,36,Anneport,Saint Vincent and the Grenadines,Writer,59816,2024-03-04,2025-08-21 03:59:29.242988,23,897.21,Bronze,True,Sales
119,Teresa,Cuevas,jessicapayne@example.org,(206)803-8505,20,Daltonhaven,Dominica,Personnel officer,37146,2024-09-02,2025-08-11 21:57:32.036093,35,1460.68,Silver,False,IT
120,Wendy,Dawson,williamsjesse@example.net,(457)519-1826x19906,73,Josemouth,Vanuatu,"Nurse, learning disability",31607,2025-02-02,2025-09-01 04:17:18.635884,36,1421.7,Platinum,False,Sales
121,Louis,Nelson,hardingderek@example.net,721-527-7561,29,Parkerview,Timor-Leste,Communications engineer,36734,2023-11-14,2025-09-03 08:18:15.176932,16,4705.32,Platinum,True,IT
122,Kevin,Bush,lewismelissa@example.org,235-868-0442,43,Hawkinsside,Egypt,Chief Marketing Officer,94454,2024-08-11,2025-09-03 05:38:24.384927,4,2885.11,Bronze,True,Marketing
123,Donald,Smith,davidcolon@example.com,+1-219-994-1013x72151,69,East Sandrachester,Swaziland,Nutritional therapist,103772,2024-09-05,2025-08-21 14:23:58.704766,19,425.9,Silver,True,Finance
124,Ronald,Gomez,joshuagriffin@example.org,9992934768,66,West Patrickchester,Cook Islands,Secondary school teacher,84548,2024-03-09,2025-09-08 22:34:38.222940,38,2980.63,Silver,False,HR
125,Amy,Smith,wcasey@example.com,+1-275-798-5642,76,North Paula,Slovakia (Slovak Republic),Health visitor,88028,2023-10-21,2025-09-08 20:44:13.190332,19,4300.83,Platinum,False,Finance
126,Alyssa,Wang,terrigarcia@example.net,448.503.9652,57,Lindastad,United States Minor Outlying Islands,"Therapist, art",37894,2023-09-29,2025-08-31 03:14:17.602287,39,4800.54,Bronze,True,Operations
127,Stacey,Elliott,marycochran@example.com,+1-542-270-1039,31,Smithborough,Sri Lanka,"Conservator, furniture",64687,2024-05-15,2025-08-15 10:36:19.989919,42,405.94,Silver,True,Finance
128,Leah,Oneill,johnsonbrenda@example.org,001-818-951-5691x54522,22,Grantside,Puerto Rico,Visual merchandiser,50517,2025-04-06,2025-08-16 19:33:54.858638,0,2042.59,Platinum,False,IT
129,Brianna,Thompson,jessica42@example.org,001-909-469-0295x9391,32,Juliebury,Guatemala,IT consultant,67762,2024-01-09,2025-09-05 16:15:54.096800,45,1413.59,Platinum,True,Operations
130,Christopher,Fletcher,sean43@example.org,001-915-841-0067x626,32,Amyville,Switzerland,Quality manager,64675,2025-04-07,2025-08-27 11:02:03.832499,50,3956.24,Silver,False,IT
131,Katherine,Perez,cjones@example.com,3543115262,52,Brookefort,Romania,Airline pilot,59466,2024-07-20,2025-08-29 17:27:06.374288,41,744.95,Gold,True,IT
132,Catherine,Hamilton,garciajamie@example.org,(288)744-4310x69872,21,South Christopherfort,Cook Islands,Chief Strategy Officer,51747,2023-09-27,2025-08-15 05:50:01.040866,50,1538.06,Gold,False,IT
133,Kelly,Miller,parkerraymond@example.com,+1-941-686-2565x27047,47,Port Joseph,Bahamas,Dentist,120266,2025-03-11,2025-08-30 03:24:42.246077,19,3498.67,Gold,False,HR
134,Christopher,Cooper,larellano@example.org,+1-906-686-8793,23,South Raventon,Macao,"Teacher, English as a foreign language",108385,2025-06-28,2025-09-03 03:09:31.272780,2,4447.11,Gold,False,IT
135,Erica,Oliver,averyshane@example.org,632.706.1632,23,North Paulfurt,Micronesia,"Journalist, magazine",60005,2025-05-27,2025-08-25 17:00:35.756189,43,4179.79,Bronze,False,Finance
136,Sally,Smith,jrodriguez@example.org,001-799-811-9148,20,Patrickfort,Montserrat,Transport planner,130022,2024-08-19,2025-08-15 06:49:05.695382,48,875.95,Platinum,False,Marketing
137,Richard,Montgomery,vwilliams@example.net,607.945.0544,55,Port Jeremyport,Samoa,Probation officer,87132,2025-03-27,2025-08-19 17:51:34.673309,40,4071.22,Bronze,False,Sales
138,Jessica,Jacobs,lopezjason@example.com,001-278-450-8214x8628,44,Port James,Azerbaijan,Fisheries officer,73687,2023-10-03,2025-08-11 15:14:13.658146,20,3350.67,Silver,False,HR
139,Michael,Gonzalez,madison86@example.net,703-757-9727,62,Port Patricia,San Marino,Chemical engineer,94942,2024-04-04,2025-08-21 17:09:42.218561,18,3312.92,Platinum,True,HR
140,Frank,Armstrong,mercedesholland@example.net,246.580.0722,23,Charleneport,Rwanda,Haematologist,71224,2024-07-14,2025-08-21 09:53:48.372286,16,1616.37,Platinum,True,Operations
141,Michael,King,hturner@example.net,(391)708-5899x4417,73,Danielleview,Eritrea,Hydrogeologist,101118,2024-01-24,2025-08-25 15:17:08.973822,29,2066.24,Silver,False,Finance
